Id	x_coord	y_coord
תקנות עזרה ראשונה" – כמשמעותו בתקנות הבטיחות בעבודה (עזרה ראשונה במקומות עבודה), התשמ"ח-1988	40	29
הוראות סעיף 6א(ג), דין המחזיק במקום העבודה – מאסר שנתיים או הקנס הקבוע בסעיף 61(א)(3) לחוק העונשין, התשל"ז-1977	40	30
הוראות תקנות בריאות העם (מעבדות רפואיות), תשל"ז-1977	40	31
הוראות תקנת משנה (א)(2). מיום 28.7.2019 ור' סעיף 19(ב) לענין תחילה תק' תשע"ט-2019	40	32
תקנה 3.  מיום 25.2.1999 תק' תשנ"ט-1999	40	33
פקודה זו.           (ב)  "תופש המקום", לענין סעיף זה – לרבות בעל המקום. מיום 23.8.1974 תיקון מס' 1 ס"ח תשל"ד מס' 745 מיום 23.8.1974	40	34
תקנת משנה (א)(2). מיום 28.7.2019 ור' סעיף 19(ב) לענין תחילה תק' תשע"ט-2019	40	35
תקנות משנה (א)(1). תאונה בדרך חזרה     לארץ תק'     תשט"ו-1955	40	36
חוק לתיקון פקודת הבטיחות בעבודה, תשל"ד-1974	40	37
פקודה זו את האגודה כמעביד כמעסיק של החבר ואת החבר כעובד האגודה, אף-על-פי שהוא מקבל גמול עבודתו, כולו או מקצתו, על ידי השתתפות ברווחי האגודה או בהכנסתה ברוטו; (תיקון מס' 2)  תשמ"א-1981	40	38
תקנה 2ב איסור עבודת נוער   3.    (א)  נער לא יועבד בחומר.           (ב)  בתקנה זו, "נער" – מי שטרם מלאו לו 18 שנים. נקיטת אמצעי     זהירות תק'     תש"ס-2000	40	39
תקנה 33(17); (21)  מידע אם נדרשת חוות דעת של מורשה נגישות מבנים, תשתיות וסביבה לבקשה להיתר לעבודה במקום ציבורי קיים, שהיא חובה לפי חוק שוויון זכויות לאנשים עם מוגבלות, התשנ"ח-1998	40	40
הוראות סעיף 17(א)(2) יחולו, בשינויים המחוייבים לפי הענין, על חילוקי דעות בין נאמני בטיחות לבין מעביד מעסיק בקשר למעשי המעביד כאמור. ממונה על בטיחות (תיקון מס' 4)     תשמ"ט-1989	40	41
תקנת משנה 14(ז)   מיום 25.5.1996 תק' תשנ"ו-1996	40	42
תקנות אלה; מיום 10.4.1994 תק' תשנ"ד-1994	40	43
תקנות ארגון הפיקוח על העבודה (תכנית בטיחות), תשמ"ד-1984	40	44
תקנות מחלות מקצוע (חובת הודעה – רשימה נוספת), תש"ם-1980	40	45
חוק; ואולם בקשה למידע להיתר ומסירת מידע להיתר ייערכו באמצעות מערכת רישוי זמין בלבד.   תוספת (תקנות 1 ו-33(7)) תכנית ראשית תק' תש"ף-2020	40	46
תקנות הבטיחות בעבודה (עגורני-צריח), תשכ"ז-1966	40	47
תקנה לפיה, יראו את הדבר כאילו היתה הפרת הוראה לגבי כל עובד לחוד.   סימן ב': עבירות ועונשין עונש כשלא נקבע     במפורש (תיקון מס' 1)      תשל"ד-1974	40	48
תקנות אלה, כדין היתר לשימוש חורג שניתן לפני תחילתן.     ג' באייר תשס"ב (15 באפריל 2002	40	49
תקנה 2) תק'     תשנ"ה-1995	40	50
תקנה 7, ובלבד שיש בידו תעודת סיום של קורס בנושאי בטיחות מיתקני חשמל מתח גבוה ומתן עזרה ראשונה לנפגעי חשמל ולאחר שעמד בהצלחה בבחינות שערכה יחידת הבחינות. מיום 26.4.1994 תק' תשנ"ד-1994	40	51
תקנת משנה (ב). מיום 28.7.2019 תק' תשע"ט-2019	40	52
תקנות אלה; חשיפה למתכת תק' תשע"א-2011	40	53
תקנות. הודעה על נאמן בטיחות ותחילת כהונתו (תיקון מס' 8)      תשע"ד-2014	40	54
תקנה 6(א)) ]הודעה על מינוי ממונה על הבטיחות[     כ"ה באייר תשנ"ו (14 במאי 1996	40	55
תקנות הבטיחות בעבודה (עגורני צריח), תשכ"ז-1966	40	56
פקודת הבטיחות בעבודה (מס' 6), תשס"ה-2005	40	57
תקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות הציבור והעובדים באסבסט, טלק וצורן דו-חמצני גבישי באבק מזיק), תשמ"ד-1984	40	58
הוראות מעבר תק' תשס"א-2001	40	59
תקנה 2 לענין תחילה. מס' 956 מיום 12.11.1959 עמ' 153 – תק' (מס' 2) תש"ך-1959	40	60
חוק בית הדין לעבודה, תשכ"ט–1969	40	61
תקנות אלה יהיו בעברית.  תחולה תק'     תשנ"ח-1998	40	62
פקודה;            "בונה מקצועי" – מי שלאחר הגיעו לגיל שמונה עשרה עבד שלוש שנים לפחות באותו מקצוע בנין שבו הוא משמש בונה מקצועי; תק' תשע"ט-2019	40	63
תקנה 2(א), בתקופה של שנה מיום התחילה עד ליום כ"ד בטבת התשע"ט (1 בינואר 2019	40	64
תקנה 40, תאושר גם תקופת אי כשרו של הנפגע לעבודתו או לעבודה מתאימה אחרת על ידי המעביד, הטייס, המפקד או רב החובל, לפי הענין. מיום 23.3.1967 תק' (מס' 2) תשכ"ז-1967	40	65
הוראות מעבר   122.  (א)  על אף האמור בתקנה 121, לבקשת מבקש ההיתר, מותר לפעול לפי תקנות אלה מיום פרסומן.            תק' תש"ף-2020	40	66
תקנות ארגון הפיקוח על העבודה (מסירת מידע והדרכת עובדים), התשנ"ט-1999	40	67
הוראות מעבר   85.  על אף האמור בתקנה 84 מותר לפעול לפי תקנות אלה בלבד החל ביום פרסומן.   תוספת (תקנה 2(ב))         ה' בתמוז התשנ"א (17 ביוני 1991	40	68
תקנות לשמירת     הבטיחות, הבריאות והגיהות בעבודה (תיקון מס' 9)      תשע"ו-2016	40	69
הוראה זו לא תחול לגבי פיגום שאין אדם עלול ליפול ממנו לעומק העולה על 2 מטרים ולגבי פיגום חמורי. מיום 27.1.2019 תק' תשע"ט-2019	40	70
תקנות 2, 4, 5, 6(א), 7(ג) או 11 – דינו קנס, שלא יעלה על הקבוע בסעיף 61(א)(1) לחוק העונשין, תשל"ז-1977	40	71
פקודה;           "מנהל עבודה" - מי שנתמנה מנהל עבודה לפי תקנה 2 לתקנות הבטיחות בעבודה (עבודות בניה), תשט"ו-1955	40	72
תקנות לפי סעיף 45(א) לחוק, כפול חמישה הם 0.4% מסכום הכנסת מינימום לפי פרט 1 בלוח י"א לחוק, כפול חמישה.   מיום 15.3.1973 תק' תשל"ג-1973	40	73
תקנות הממונים);           "ממונה בטיחות קרינה" – כהגדרתו בתקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות העוסקים בקרינה מייננת), התשנ"ג-1992	40	74
חוק זה ולפי כל דין אחר. מיום 1.1.1983 תיקון מס' 2 ס"ח תשמ"ב מס' 1051	40	75
חוק מס רכוש וקרן פיצויים, התשכ"א-1961	40	76
תקנות ארגון הפיקוח על העבודה (ממונים   על הבטיחות), תשנ"ו-1996	40	77
חוק רישוי עסקים, תשכ"ח-1968	40	78
תקנה 2(א), עד ליום כ"ט בטבת התשפ"ב (2 בינואר 2022	40	79
תקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות העובדים ברעש),  תשמ"ד-1984	40	80
פקודה על הממשלה (תיקון מס' 1)      תשע"ד-2014	40	81
חוק להסדר התדיינות בין בני-זוג, תשכ"ט-1969	40	82
תקנות אלה: הגדרות   1.    בתקנות אלה -  הוראת שעה     תשע"ב-2011	40	83
תקנה 2א רישום ופרסום     תוצאות הבדיקות תק'     תשס"ב-2002	40	84
חוק איסור לשון הרע, תשכ"ה–1965	40	85
חוק המקרקעין, התשכ"ט-1969	40	86
תקנות הביטוח הלאומי(ביטוח מפני פגיעה   בעבודה), תשיד-1954	40	87
תקנה 17 לכל אדם הנבדק על ידו שהעתק שלו יישלח לועדה הרפואית; תק' תש"ס-2000	40	88
תקנות אלה: הגדרות   1.    בתקנות אלה – תק' תש"ס-2000	40	89
תקנת משנה (א).   מיום 1.4.1965 תק' (מס' 2) תשכ"ה-1965	40	90
הוראות פסקאות (1) עד (4) יחולו גם על מעביד במפעל שבו עבדו באבק מזיק שמקורו באסבסט ושנסגר מכל סיבה שהיא, וכן על שירות רפואי מוסמך.   מיום 11.8.2000 תק' תש"ס-2000	40	91
תקנות לפי סעיף 47, דינו – קנס 3,000 לירות או מאסר שלושה חדשים קנס 10,000 לירות או מאסר שישה חדשים. אי-משלוח תסקיר     למפקח אזורי (תיקון מס' 1)      תשל"ד-1974	40	92
פקודת התאונות ומחלות משלח-יד (הודעה), 1945 (להלן - הפקודה), והסעיפים 14 (א) ו-2(ד) לפקודת סדרי השלטון והמשפט, תש"ח-1948	40	93
חוק ודרכי הוכחתה תק'     תשנ"ח-1998	40	94
חוק שוויון זכויות לאנשים עם מוגבלות, סטייה ניכרת;   מיום 27.11.2013 עד יום 1.1.2020 (עקב פיזור הכנסות ה-21 וה-22 עד יום 16.6.2020) הוראת שעה תשע"ד-2013	40	95
תקנה 2ב;   מיום 23.4.1998 תק' תשנ"ח-1998	40	96
תקנות אלה; מיום 17.10.1991 תק' תשנ"ב-1991	40	97
תקנת משנה (ה) תוכן תכנית בידי מתכנן הקמת פיגומים אשר תכלול את האמצעים אשר יקנו לפיגום אותה מידת יציבות. תק'     תשע"ט-2019	40	98
תקנות התכנון והבנייה (מידע נדרש להיתר), התשנ"ב-1992	40	99
פקודת התעבורה, ותקנות התעבורה, תשכ"א-1961	40	100
תקנה 25(3) - הקיבוץ; תק'     תשנ"ב-1991	40	101
תקנת משנה (א). מיום 20.12.1956 תק' תשי"ז-1956	40	102
תקנות (תיקון מס' 10) תשס"ה-2005	40	103
תקנות ארגון הפיקוח על העבודה (מסירת מידע והדרכת עובדים), תשנ"ט-1999	40	104
חוק, כפול חמישה.  (א) דמי הביטוח בעד מבוטח לפי סעיף 31(א)(3) עד (8) לחוק – להוציא מבוטח שהוא כבאי מתנדב כמשמעותו בסעיף 1 לחוק שירותי הכבאות, תשי"ט-1959	40	105
הוראה מהוראות תקנות 2, 4, 5, 6(א), 7(ג) או 11 – דינו קנס, שלא יעלה על הקבוע בסעיף 61(א)(1) לחוק העונשין, תשל"ז-1977	40	106
תקנות אלה; מיום 26.5.1996 תק' תשנ"ו-1996	40	107
חוק. תק' (מס' 2)      תשכ"ז-1967	40	108
הוראות תקן ישראלי - ת"י 2302 חלק 1 האלה: (1)   פרק א' – סעיף 1.3.1 וסעיף 1.4;  (2)   פרק ג' – סעיפים 3.2 ו-3.3, פרק ד' ונספחים א', ב' ו-ג'; מיום 28.5.2000 תק' תש"ס-2000	40	109
תקנות שעת חירום לגיוס כוח אדם, תש"ח-1948	40	110
תקנות הבטיחות בעבודה (עבודות בניה), תשט"ו-1955	40	111
תקנות אלה תוטל על מבצע בניה כהגדרתו בתקנות הבטיחות בעבודה (עבודות בניה), התשמ"ח-1988	40	112
חוק בית הדין לעבודה תשכ"ט-1969	40	113
חוק להגברת הצמיחה והתעסוקה ולהשגת יעדי התקציב לשנת הכספים 1998 (תיקוני חקיקה), תשנ"ח-1998	40	114
הוראות תקנות אלה ולנקוט צעדים מתאימים כדי להבטיח שכל עובד ימלא אחר התקנות הנוגעות לעבודתו, אלא אם כן החובה מוטלת במפורש על מבצע הבניה.  תק'     תשנ"א-1991	40	115
פקודה זו או הפוגע בהם, דינו – קנס 500 לירות או חודש מאסר. מיום 23.8.1974 תיקון מס' 1 ס"ח תשל"ד מס' 745 מיום 23.8.1974	40	116
תקנה זו - "רופא מוסמך" - כמשמעותו בתקנות הביטוח הלאומי (קביעת דרגת נכות לנפגעי עבודה), תשט"ז-1956	40	117
תקנה 28 הנוסח הקודם: פטור מהצהרת שכר 28. מעבידו של מבוטח לפי סעיף 16(א)(2) עד (6) לחוק פטור מהגשת הצהרה לפי תקנה 8 לתקנות הביטוח הלאומי (גביית דמי הביטוח) תשי"ד-1954	40	118
הוראת מעבר   9.    (א)  על אף האמור בתקנות 2 ו-3 יראו לגבי תכנית שהופקדה עד יום כ"ט בתמוז תשמ"ט (1 באוגוסט 1989	40	119
תקנות 2, 3, 6 ו-7 לתקנות ארגון הפיקוח על העבודה (מסירת מידע והדרכת עובדים), התשנ"ט-1999	40	120
הוראה החלטית לאי-התאמה, גם בהעדר ממצאים קליניים או מעבדתיים אחרים, לאחר שבוצעה בדיקה חוזרת תוך 15 ימים; (8)   טרם מלאו לו 18 שנים; תק' תשס"ב-2002	40	121
הוראות, בכל שיטה שהיא, בין ישירות לעגורנאי ובין אדם אחר כדי שהוא יעביר את ההוראות לעגורנאי, בקשר להרמת מטען בעגורן, כיוונון מטען או כיוונון אונקל העגורן; תק'     תשנ"ו-1996	40	122
פקודה זו לא יראו כפוגע בשיפוט לפי דיני האדמירליות הנתון לבית משפט בישראל, או בהוראות של החוק לתיקון סדרי הדין האזרחי (המדינה כבעל דין), תשי"ח-1958	40	123
תקנות אלה ששה חודשים מיום פרסומן. הוראות מעבר   85.  על אף האמור בתקנה 84 מותר לפעול לפי תקנות אלה בלבד החל ביום פרסומן.   תוספת (תקנה 2(ב))         ה' בתמוז התשנ"א (17 ביוני 1991	40	124
הוראות סעיף 3 בתקנות שהותקנו לפי פקודה זו; (תיקון     מס' 1) תשע"ד-2014	40	125
חוק-יסוד: הכנסת, וסעיף 2(ב) לחוק העונשין, התשל"ז-1977	40	126
חוק, כפול עשרה כפול שניים. הודעה מאת המעביד תק' (מס' 3)      תשכ"ה-1965	40	127
תקנות הקודמות). תחילה   14.  תחילתן של תקנות אלו שלושה חודשים מיום פרסומן. הוראות מעבר תק' תשנ"ט-1999	40	128
הוראת שעה), התשס"ז-2007	40	129
תקנות התאונות ומחלות משלח-היד (הודעה על מקרים מסוכנים במקומות עבודה), תשי"א-1951	40	130
הוראות לכך על פי דין יקבע את הבדיקות וההוראות לגביהם.   דרכי מתן שירותי בריאות בעבודה תק' תשל"ד–1974	40	131
תקנה לפיה, יראו את הדבר כאילו היתה הפרת הוראה לגבי כל עובד לחוד. מיום 23.8.1974 תיקון מס' 1 ס"ח תשל"ד מס' 745 מיום 23.8.1974	40	132
הוראות סעיף 46 או הוראות תקנות לפי סעיף 47, דינו – קנס 10,000 לירות או מאסר שישה חדשים. מיום 23.8.1974 תיקון מס' 1 ס"ח תשל"ד מס' 745 מיום 23.8.1974	40	133
הוראות תקנות אלה יחולו על כל עבודות בניה ובניה הנדסית. מיום 15.12.1998 תק' תשנ"ח-1998	40	134
תקנות רישוי עסקים (מעבדות רפואיות), תשל"ז-1977	40	135
הוראות התכנית. תק'     תשע"ג-2012	40	136
תקנות אלה היא – (1)  תקנה 20, לגבי עגורן צריח הנמצא בישראל ביום פרסומן של תקנות אלה ברשומות – ביום כ"ב באייר תשכ"ז (1 ביוני 1967	40	137
הוראות יצרן הפיגום, או שלא קוימו לגביו הוראות תקנות אלה, לא ישתמשו בפיגום כל עוד לא תוקן כראוי, להנחת דעתו של מנהל העבודה. מיום 27.1.2019 תק' תשע"ט-2019	40	138
תקנות הבטיחות בעבודה (עזרה ראשונה במקומות עבודה), תשמ"ח-1988	40	139
תקנות אלה; תק' תשנ"ו-1996	40	140
תקנות 61 62 עד 64.   מיום 9.8.2018 תק' (מס' 2) תשע"ח-2018	40	141
תקנה 4 – (1)  להתקין ולקיים אמצעי יניקה וכן מינדפים טובים ויעילים, במקומות העבודה השונים בהם עובדים, מעבדים או משתמשים באסבסט או במוצרי אסבסט; תק'     תשנ"א-1990	40	142
חוק הבזק, תשמ"ב-1982	40	143
הוראות היצרן ולתקן פיגומים ישראלי; החיבור ייעשה כך שימנע שקיעה, כיפוף או קריסה. תק'     תשנ"א-1991	40	144
הוראת שעה תשע"ב-2011	40	145
תקנות למניעת מפגעים (רעש בלתי סביר מציוד בניה), תשל"ט-1979	40	146
תקנות אלה ביום ה' בטבת תשס"ב (31 בדצמבר 2001	40	147
תקנות בריאות העם (תנאים תברואיים לקידוח מי שתייה), התשנ"ה-1995	40	148
פקודת הראיות [נוסח חדש], תשל"א-1971	40	149
חוק ארגון הפיקוח על העבודה (תיקון מס' 10), תשע"ו-2016	40	150
תקנה 34 הנוסח הקודם: פיגום זקפים גבוה או מיוחד 34. מבצע הבניה אחראי לכך שפיגום זקפים מעץ שגבהו עולה על 18 מטרים ופיגום מיוחד יוקמו לפי תכנון. ביסוס פיגום     זקפים תק'     תשנ"א-1991	40	151
הוראות תקנות אלה אם לדעתו הנסיבות מצדיקות זאת.   ג' בשבט תשמ"ג (17 בינואר 1983	40	152
חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנת התקציב 2019), תשע"ח-2018	40	153
חוק תשולם אחת לחודש ומענק לפי הסעיפים האמורים ישולם תוך חודש ימים מתאריך קביעת הזכות למענק וסכומו. תק'     תשנ"ח-1998	40	154
פקודת הבטיחות בעבודה;           "הוראות הבטיחות" – הוראות הדין המפורטות בתוספת;           "מבצע בנייה" – כמשמעותו בתקנות 1 ו-6 לתקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988	40	155
תקנה 2 לתקנות הבטיחות בעבודה (עבודות בנייה), התשמ"ח-1988	40	156
הוראות תקנות אלה יחולו על כל עבודות בניה ובניה הנדסית למעט קו או שלוחה של מסילת ברזל, כביש, מגרש חניה או מגרש ספורט. ביטול   196. תקנות הבטיחות בעבודה (עבודות בניה), תשט"ו-1955	40	157
חוק, כפול עשרה.   מיום 13.6.1974 תק' (מס' 3) תשל"ד-1974	40	158
תקנה 28א דמי פגיעה     למבוטחים לפי סעיף     16(א)(2) עד (4) תק' (מס' 2)      תשכ"ה-1965	40	159
תקנות רישוי עסקים (אחסנת נפט), תשל"ז-1976	40	160
תקנות  הבטיחות בעבודה (עזרה ראשונה), תשל"ג–1972	40	161
הוראות פסקת משנה (ג) יחולו גם על תוספת דירות מגורים לפי פסקת משנה (ד); הוראת שעה     תשע"ב-2011	40	162
תקנות בדבר סדרי הדין בועדה. מיום 1.8.1981 תיקון מס' 2 ס"ח תשמ"א מס' 1025	40	163
תקנות אלה;   מיום 24.11.1990 תק' תשנ"א-1990	40	164
תקנה 17 הנוסח הקודם: תביעת גימלה 17. התובע גימלה לפי חלק ב' לחוק יגיש תביעתו לפי טופס שאפשר להשיגו בכל אחד מסניפי המוסד. תק'     תשנ"ח-1998	40	165
תקנות לפי סעיף 47 לא יחולו על מכונות, מיתקנים או ציוד שהוחל בבנייתם לפני התקנתן. סימן ג': בטיחות הגישה והמעבר גישה למקום עבודה (תיקון מס' 1)      תשל"ד-1974	40	166
חוק מס מקביל, תשל"ג–1973	40	167
תקנה 16 לתקנות בתי הסוהר, תשכ"ז-1966	40	168
חוק: (1) מועסק בו אדם בעבודת כפיים לפחות 8 שעות בשבוע; (2) ניתנת בו הכשרה מעשית על ידי עבודת כפיים לפי חוק החניכות, תשי"ג-1953	40	169
פקודה זו חלה עליהן אלא אם נבדק ונערך תסקיר כאמור תוך עשרים וששת החדשים שקדמו לכך. מיום 23.8.1974 תיקון מס' 1 ס"ח תשל"ד מס' 745 מיום 23.8.1974	40	170
תקנות   הבטיחות בעבודה (עובדים בחמרי הדברה), התשכ"ד-1964	40	171
תקנה 12 לענין הוראות מעבר. ק"ת תשנ"א מס' 5302	40	172
חוק שוויון זכויות לאנשים עם מוגבלות ובכלל זה מקומות ציבוריים קיימים שהם מוסדות חינוך, מוסדות על-תיכוניים, או שניתנים בהם שירותי בריאות; מיום 16.1.2013 תק' תשע"ג-2012	40	173
תקנות אלה. מיום 7.4.1999 תק' תשנ"ט-1999	40	174
חוק זה, הנדרשים לפי חוק זה לשם ביצוע עבודה, ביצוע תפקיד הכולל סמכויות בדיקה ובקרה הנדרשות בהוראות לפי חוק זה, או מתן הכשרה מקצועית. מיום 28.1.2016 תיקון מס' 9 ס"ח תשע"ו מס' 2525	40	175
תקנה זו -   "תקופת האיזון" – תקופה של שנתיים רצופות; הראשונה בתקופות ראשיתה ביום כ"ב באדר ב' תשי"ט (1 באפריל 1959	40	176
הוראות סעיף 17(א)(2) יחולו, בשינויים המחוייבים לפי הענין, על חילוקי דעות בין נאמני בטיחות לבין מעסיק בקשר למעשי המעביד כאמור. מיום 21.5.1982 תיקון מס' 2 ס"ח תשמ"ב מס' 1051	40	177
חוק), וסעיפים 173 ו-216 לפקודת הבטיחות בעבודה [נוסח חדש], תש"ל-1970	40	178
הוראה; ת"ט תשע"ג-2013	40	179
תקנה 25א   מיום 15.3.1973 תק' תשל"ג-1973	40	180
תקנות לפי סעיף 47, דינו – קנס 10,000 לירות או מאסר שישה חדשים. מיום 23.8.1974 תיקון מס' 1 ס"ח תשל"ד מס' 745 מיום 23.8.1974	40	181
הוראות חיקוק ובהתאם להן או שנעשה בתחום הרשאה חוקית או מתוך אמונה סבירה ובתום לב בקיומה של הרשאה חוקית; בסעיף זה, "מעשה" – לרבות מחדל. מיום 10.2.2006 תיקון מס' 10 ס"ח תשס"ה מס' 2026	40	182
חוק המכר, תשכ"ח-1968	40	183
תקנות חומרי נפץ (מסחר, העברה, ייצור,   החסנה ושימוש), תשנ"ד-1994	40	184
הוראת שעה) (תיקון) תשע"ט-2018	40	185
תקנות המהנדסים והאדריכלים; מיום 5.3.2018 תק' תשע"ח-2018	40	186
הוראות סעיף 14(א)(1) לחוק, בשינויים המחוייבים לפי הענין. לענין תקנה זו, רואים כהכשרה מעשית גם שיעורי מקצוע הניתנים לפי חוק החניכות, תשי"ג-1953	40	187
חוק; ואולם בקשה למידע להיתר ומסירת מידע להיתר ייערכו באמצעות מערכת רישוי זמין בלבד. תק'     תשע"ז-2017	40	188
תקנות ההתגוננות האזרחית (מפרטים לבניית מקלטים), תש"ן-1990	40	189
תקנות, כולן או מקצתן, ורשאי הוא לעשות כן לתקופה קצובה, במגבלות ובתנאים אשר יורה. מיום 4.5.2000 תק' תש"ס-2000	40	190
תקנה 25(5) - המוסד הרפואי. תק' (מס' 3) תשכ"ה-1965	40	191
תקנות אלה לא יחולו על – (1)   חומר מסוכן בכמויות או בריכוזים הפטורים כאמור בתקנה 2 לתקנות החומרים המסוכנים (סיווג ופטור), תשנ"ו-1996	40	192
תקנות הבטיחות בעבודה (עזרה ראשונה), תשל"ג-1972	40	193
תקנות הבטיחות בעבודה (חשמל), תשמ"ו-1986	40	194
פקודה סעיף 1  2 Go השם סעיף 2  2 Go תוספת     תקנות התאונות ומחלות משלח-היד (הודעה על מקרים מסוכנים במקומות עבודה), תשי"א-1951	40	195
תקנות, לתקופה קצובה, במגבלות ובתנאים אשר יורה. מיום 24.10.2002 תק' תשס"ב-2002	40	196
הוראות סעיף 46 או הוראות תקנות לפי סעיף 47, דינו – קנס 3,000 לירות או מאסר שלושה חדשים קנס 10,000 לירות או מאסר שישה חדשים. אי-משלוח תסקיר     למפקח אזורי (תיקון מס' 1)      תשל"ד-1974	40	197
חוק, ישלם דמי ביטוח מפני פגיעה בעבודה בשיעור של 75% 85% מהאמור בתקנת משנה (א).   מפעל נפרד תק'     תשי"ז-1956	40	198
תקנה מחיצה או ננקטו אמצעים מתאימים למניעת פגיעה בפיגום או באדם שעל הפיגום על ידי מיתקן ההרמה או החומר המועלה או המורד באמצעותו. מיום 28.7.2019 תק' תשע"ט-2019	40	199
תקנה 7 לענין הוראת מעבר. ק"ת תשע"ט מס' 8157	40	200
פקודת הבטיחות בעבודה, 1946, ובהתאם לתקנות הבטיחות בעבודה (עגורני-צריח), תשכ"ז-1966	40	201
תקנת משנה (א) או לדחות את מועד הבחינה כאמור בתקנת משנה (א)(2).  תק'     תשנ"א-1991	40	202
הוראת שעה     תשע"ב-2011	40	203
הוראות מיוחדות לענין בריאות, בטיחות ורווחה סימן א': אבק ואדים סילוק אבק ואדים (תיקון מס' 1)      תשל"ד-1974	40	204
חוק המנוי בתוספת;           "תפקיד שלטוני" – תפקיד ציבורי על פי דין כמשמעותו בסעיף 15(ד)(2) לחוק-יסוד: השפיטה. מיום 10.2.2006 תיקון מס' 10 ס"ח תשס"ה מס' 2026	40	205
הוראות מעבר. תוקן ק"ת תשע"ח מס' 8031	40	206
הוראות סעיף זה כדי לגרוע מאחריות למותו של אדם או לחבלה בגופו לפי דין אחר.   מיום 1.8.1981 תיקון מס' 2 ס"ח תשמ"א מס' 1025	40	207
