Id	Label	timeset	x_coord	y_coord	Degree	Eccentricity	closnesscentrality	harmonicclosnesscentrality	betweenesscentrality	componentnumber	pageranks	Weighted Degree	y_coord_unique	Authority	Hub	modularity_class	clustering	triangles	eigencentrality
הוראות תקנות 2, 4, 5, 6(א), 7(ג) או 11 – דינו קנס, שלא יעלה על הקבוע בסעיף 61(א)(1) לחוק העונשין, תשל"ז-1977			40	21	5	4	0.484651	0.493149	246.499829	0	0.000754	5		0.041032	0	3	0	0	0.092776
הוראות תקנה זו אינן באות לגרוע מכוחן של תקנות מדידת מים (מדי מים), התשמ"ח-1988			40	22	1	6	0.192079	0.202785	0	0	0.000696	1		0.000005	0	6	0	0	0.00047
תקנות המהנדסים והאדריכלים להגיש לרשות המוסמכת תכנית כמשמעותה בתקנות האמורות; תק'     תשע"ח-2018			40	23	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
תקנות שהותקנו לפיו, תקנות הבטיחות בעבודה (חשמל), תשמ"ו-1986			40	24	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
הוראות בדבר מינוי ממונה על בטיחות ופסילתו, בדבר חובותיו כלפי מפקח עבודה וועדת בטיחות ובדבר העונש שיהיה צפוי לו באי-מילוי חובותיו. מיום 1.11.1989 תיקון מס' 4 ס"ח תשמ"ט מס' 1286			40	25	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
תקנה זו - מפעל המסווג בתוספת הראשונה בקבוצות וסעיפי סיכון בענפים: 7, 5, 4, 3, 2, 1, 0. תק' (מס' 2)      תשל"ה-1975			40	26	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
חוק;           "הבנין העיקרי" – בנין המוקם בעבור השימוש הקבוע בתכנית; תק'     תשע"ג-2012			40	27	0	0	0	0	0	4	0.000197	0		0	0	10	0	0	0
הוראות לפי חוק זה, או מתן הכשרה מקצועית. מיום 28.1.2016 תיקון מס' 9 ס"ח תשע"ו מס' 2525			40	28	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
תקנות עזרה ראשונה" – כמשמעותו בתקנות הבטיחות בעבודה (עזרה ראשונה במקומות עבודה), התשמ"ח-1988			40	29	5	4	0.41108	0.44699	97.826362	0	0.000716	5		0.038434	0	7	0	0	0.083846
הוראות סעיף 6א(ג), דין המחזיק במקום העבודה – מאסר שנתיים או הקנס הקבוע בסעיף 61(א)(3) לחוק העונשין, התשל"ז-1977			40	30	5	6	0.435702	0.466801	78.495529	0	0.000763	10		0.03226	0	4	0	0	0.074752
הוראות תקנות בריאות העם (מעבדות רפואיות), תשל"ז-1977			40	31	1	6	0.360719	0.404919	0	0	0.000316	1		0.010871	0	4	0	0	0.024601
הוראות תקנת משנה (א)(2). מיום 28.7.2019 ור' סעיף 19(ב) לענין תחילה תק' תשע"ט-2019			40	32	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
תקנה 3.  מיום 25.2.1999 תק' תשנ"ט-1999			40	33	5	4	0.484651	0.493149	246.499829	0	0.000754	5		0.041032	0	3	0	0	0.092776
פקודה זו.           (ב)  "תופש המקום", לענין סעיף זה – לרבות בעל המקום. מיום 23.8.1974 תיקון מס' 1 ס"ח תשל"ד מס' 745 מיום 23.8.1974			40	34	10	4	0.489123	0.498315	316.637256	0	0.001217	10		0.070831	0	1	0	0	0.150973
תקנת משנה (א)(2). מיום 28.7.2019 ור' סעיף 19(ב) לענין תחילה תק' תשע"ט-2019			40	35	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
תקנות משנה (א)(1). תאונה בדרך חזרה     לארץ תק'     תשט"ו-1955			40	36	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
חוק לתיקון פקודת הבטיחות בעבודה, תשל"ד-1974			40	37	10	4	0.489123	0.498315	316.637256	0	0.001217	30		0.070831	0	1	0	0	0.150973
פקודה זו את האגודה כמעביד כמעסיק של החבר ואת החבר כעובד האגודה, אף-על-פי שהוא מקבל גמול עבודתו, כולו או מקצתו, על ידי השתתפות ברווחי האגודה או בהכנסתה ברוטו; (תיקון מס' 2)  תשמ"א-1981			40	38	10	4	0.489123	0.498315	316.637256	0	0.001217	10		0.070831	0	1	0	0	0.150973
תקנה 2ב איסור עבודת נוער   3.    (א)  נער לא יועבד בחומר.           (ב)  בתקנה זו, "נער" – מי שטרם מלאו לו 18 שנים. נקיטת אמצעי     זהירות תק'     תש"ס-2000			40	39	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
תקנה 33(17); (21)  מידע אם נדרשת חוות דעת של מורשה נגישות מבנים, תשתיות וסביבה לבקשה להיתר לעבודה במקום ציבורי קיים, שהיא חובה לפי חוק שוויון זכויות לאנשים עם מוגבלות, התשנ"ח-1998			40	40	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
הוראות סעיף 17(א)(2) יחולו, בשינויים המחוייבים לפי הענין, על חילוקי דעות בין נאמני בטיחות לבין מעביד מעסיק בקשר למעשי המעביד כאמור. ממונה על בטיחות (תיקון מס' 4)     תשמ"ט-1989			40	41	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
תקנת משנה 14(ז)   מיום 25.5.1996 תק' תשנ"ו-1996			40	42	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
תקנות אלה; מיום 10.4.1994 תק' תשנ"ד-1994			40	43	3	4	0.369338	0.4115	12.606953	0	0.000506	3		0.02662	0	4	0	0	0.056561
תקנות ארגון הפיקוח על העבודה (תכנית בטיחות), תשמ"ד-1984			40	44	5	4	0.484651	0.493149	246.499829	0	0.000754	5		0.041032	0	7	0	0	0.092776
תקנות מחלות מקצוע (חובת הודעה – רשימה נוספת), תש"ם-1980			40	45	0	0	0	0	0	5	0.000197	0		0	0	11	0	0	0
חוק; ואולם בקשה למידע להיתר ומסירת מידע להיתר ייערכו באמצעות מערכת רישוי זמין בלבד.   תוספת (תקנות 1 ו-33(7)) תכנית ראשית תק' תש"ף-2020			40	46	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
תקנות הבטיחות בעבודה (עגורני-צריח), תשכ"ז-1966			40	47	7	4	0.370815	0.415094	69.919235	0	0.000901	7		0.036011	0	0	0	0	0.077893
תקנה לפיה, יראו את הדבר כאילו היתה הפרת הוראה לגבי כל עובד לחוד.   סימן ב': עבירות ועונשין עונש כשלא נקבע     במפורש (תיקון מס' 1)      תשל"ד-1974			40	48	10	4	0.489123	0.498315	316.637256	0	0.001217	10		0.070831	0	1	0	0	0.150973
תקנות אלה, כדין היתר לשימוש חורג שניתן לפני תחילתן.     ג' באייר תשס"ב (15 באפריל 2002			40	49	0	0	0	0	0	6	0.000197	0		0	0	12	0	0	0
תקנה 2) תק'     תשנ"ה-1995			40	50	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
תקנה 7, ובלבד שיש בידו תעודת סיום של קורס בנושאי בטיחות מיתקני חשמל מתח גבוה ומתן עזרה ראשונה לנפגעי חשמל ולאחר שעמד בהצלחה בבחינות שערכה יחידת הבחינות. מיום 26.4.1994 תק' תשנ"ד-1994			40	51	1	6	0.363904	0.408266	0	0	0.000328	1		0.010143	0	3	0	0	0.024086
תקנת משנה (ב). מיום 28.7.2019 תק' תשע"ט-2019			40	52	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
תקנות אלה; חשיפה למתכת תק' תשע"א-2011			40	53	1	6	0.360719	0.404919	0	0	0.000316	1		0.010871	0	4	0	0	0.024601
תקנות. הודעה על נאמן בטיחות ותחילת כהונתו (תיקון מס' 8)      תשע"ד-2014			40	54	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
תקנה 6(א)) ]הודעה על מינוי ממונה על הבטיחות[     כ"ה באייר תשנ"ו (14 במאי 1996			40	55	5	4	0.484651	0.493149	246.499829	0	0.000754	5		0.041032	0	7	0	0	0.092776
תקנות הבטיחות בעבודה (עגורני צריח), תשכ"ז-1966			40	56	7	4	0.370815	0.415094	69.919235	0	0.000901	7		0.036011	0	0	0	0	0.077893
פקודת הבטיחות בעבודה (מס' 6), תשס"ה-2005			40	57	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
תקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות הציבור והעובדים באסבסט, טלק וצורן דו-חמצני גבישי באבק מזיק), תשמ"ד-1984			40	58	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
הוראות מעבר תק' תשס"א-2001			40	59	0	0	0	0	0	7	0.000197	0		0	0	13	0	0	0
תקנה 2 לענין תחילה. מס' 956 מיום 12.11.1959 עמ' 153 – תק' (מס' 2) תש"ך-1959			40	60	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
חוק בית הדין לעבודה, תשכ"ט–1969			40	61	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
תקנות אלה יהיו בעברית.  תחולה תק'     תשנ"ח-1998			40	62	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
פקודה;            "בונה מקצועי" – מי שלאחר הגיעו לגיל שמונה עשרה עבד שלוש שנים לפחות באותו מקצוע בנין שבו הוא משמש בונה מקצועי; תק' תשע"ט-2019			40	63	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
תקנה 2(א), בתקופה של שנה מיום התחילה עד ליום כ"ד בטבת התשע"ט (1 בינואר 2019			40	64	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
תקנה 40, תאושר גם תקופת אי כשרו של הנפגע לעבודתו או לעבודה מתאימה אחרת על ידי המעביד, הטייס, המפקד או רב החובל, לפי הענין. מיום 23.3.1967 תק' (מס' 2) תשכ"ז-1967			40	65	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
הוראות מעבר   122.  (א)  על אף האמור בתקנה 121, לבקשת מבקש ההיתר, מותר לפעול לפי תקנות אלה מיום פרסומן.            תק' תש"ף-2020			40	66	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
תקנות ארגון הפיקוח על העבודה (מסירת מידע והדרכת עובדים), התשנ"ט-1999			40	67	1	6	0.360719	0.404919	0	0	0.000316	2		0.010871	0	4	0	0	0.024601
הוראות מעבר   85.  על אף האמור בתקנה 84 מותר לפעול לפי תקנות אלה בלבד החל ביום פרסומן.   תוספת (תקנה 2(ב))         ה' בתמוז התשנ"א (17 ביוני 1991			40	68	1	6	0.192079	0.202785	0	0	0.000696	1		0.000005	0	6	0	0	0.00047
תקנות לשמירת     הבטיחות, הבריאות והגיהות בעבודה (תיקון מס' 9)      תשע"ו-2016			40	69	10	4	0.489123	0.498315	316.637256	0	0.001217	10		0.070831	0	1	0	0	0.150973
הוראה זו לא תחול לגבי פיגום שאין אדם עלול ליפול ממנו לעומק העולה על 2 מטרים ולגבי פיגום חמורי. מיום 27.1.2019 תק' תשע"ט-2019			40	70	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
תקנות 2, 4, 5, 6(א), 7(ג) או 11 – דינו קנס, שלא יעלה על הקבוע בסעיף 61(א)(1) לחוק העונשין, תשל"ז-1977			40	71	5	4	0.484651	0.493149	246.499829	0	0.000754	5		0.041032	0	7	0	0	0.092776
פקודה;           "מנהל עבודה" - מי שנתמנה מנהל עבודה לפי תקנה 2 לתקנות הבטיחות בעבודה (עבודות בניה), תשט"ו-1955			40	72	2	4	0.336508	0.37792	11.805966	0	0.000398	2		0.016582	0	7	0	0	0.035495
תקנות לפי סעיף 45(א) לחוק, כפול חמישה הם 0.4% מסכום הכנסת מינימום לפי פרט 1 בלוח י"א לחוק, כפול חמישה.   מיום 15.3.1973 תק' תשל"ג-1973			40	73	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
תקנות הממונים);           "ממונה בטיחות קרינה" – כהגדרתו בתקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות העוסקים בקרינה מייננת), התשנ"ג-1992			40	74	4	6	0.473516	0.489151	188.576703	0	0.000657	4		0.032828	0	7	0	0	0.075973
חוק זה ולפי כל דין אחר. מיום 1.1.1983 תיקון מס' 2 ס"ח תשמ"ב מס' 1051			40	75	5	6	0.435702	0.466801	78.495529	0	0.000763	5		0.03226	0	4	0	0	0.074752
חוק מס רכוש וקרן פיצויים, התשכ"א-1961			40	76	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
תקנות ארגון הפיקוח על העבודה (ממונים   על הבטיחות), תשנ"ו-1996			40	77	0	0	0	0	0	8	0.000197	0		0	0	14	0	0	0
חוק רישוי עסקים, תשכ"ח-1968			40	78	4	6	0.361775	0.407615	102.749149	0	0.000777	4		0.011178	0	4	0	0	0.026342
תקנה 2(א), עד ליום כ"ט בטבת התשפ"ב (2 בינואר 2022			40	79	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
תקנות הבטיחות בעבודה (גיהות תעסוקתית ובריאות העובדים ברעש),  תשמ"ד-1984			40	80	2	6	0.361071	0.405818	0.985621	0	0.000426	4		0.015422	0	4	0	0	0.034016
פקודה על הממשלה (תיקון מס' 1)      תשע"ד-2014			40	81	2	6	0.434172	0.464106	60.015794	0	0.000446	2		0.021014	0	3	0	0	0.048687
חוק להסדר התדיינות בין בני-זוג, תשכ"ט-1969			40	82	2	6	0.401298	0.440836	56.06371	0	0.000431	2		0.01852	0	7	0	0	0.042778
תקנות אלה: הגדרות   1.    בתקנות אלה -  הוראת שעה     תשע"ב-2011			40	83	0	0	0	0	0	9	0.000197	0		0	0	15	0	0	0
תקנה 2א רישום ופרסום     תוצאות הבדיקות תק'     תשס"ב-2002			40	84	1	6	0.360719	0.404919	0	0	0.000316	1		0.010871	0	4	0	0	0.024601
חוק איסור לשון הרע, תשכ"ה–1965			40	85	2	6	0.401298	0.440836	56.06371	0	0.000431	2		0.01852	0	7	0	0	0.042778
חוק המקרקעין, התשכ"ט-1969			40	86	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
תקנות הביטוח הלאומי(ביטוח מפני פגיעה   בעבודה), תשיד-1954			40	87	0	0	0	0	0	10	0.000197	0		0	0	16	0	0	0
תקנה 17 לכל אדם הנבדק על ידו שהעתק שלו יישלח לועדה הרפואית; תק' תש"ס-2000			40	88	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
תקנות אלה: הגדרות   1.    בתקנות אלה – תק' תש"ס-2000			40	89	1	6	0.360719	0.404919	0	0	0.000316	1		0.010871	0	4	0	0	0.024601
תקנת משנה (א).   מיום 1.4.1965 תק' (מס' 2) תשכ"ה-1965			40	90	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
הוראות פסקאות (1) עד (4) יחולו גם על מעביד במפעל שבו עבדו באבק מזיק שמקורו באסבסט ושנסגר מכל סיבה שהיא, וכן על שירות רפואי מוסמך.   מיום 11.8.2000 תק' תש"ס-2000			40	91	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
תקנות לפי סעיף 47, דינו – קנס 3,000 לירות או מאסר שלושה חדשים קנס 10,000 לירות או מאסר שישה חדשים. אי-משלוח תסקיר     למפקח אזורי (תיקון מס' 1)      תשל"ד-1974			40	92	10	4	0.489123	0.498315	316.637256	0	0.001217	10		0.070831	0	1	0	0	0.150973
פקודת התאונות ומחלות משלח-יד (הודעה), 1945 (להלן - הפקודה), והסעיפים 14 (א) ו-2(ד) לפקודת סדרי השלטון והמשפט, תש"ח-1948			40	93	0	0	0	0	0	11	0.000197	0		0	0	17	0	0	0
חוק ודרכי הוכחתה תק'     תשנ"ח-1998			40	94	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
חוק שוויון זכויות לאנשים עם מוגבלות, סטייה ניכרת;   מיום 27.11.2013 עד יום 1.1.2020 (עקב פיזור הכנסות ה-21 וה-22 עד יום 16.6.2020) הוראת שעה תשע"ד-2013			40	95	0	0	0	0	0	12	0.000197	0		0	0	18	0	0	0
תקנה 2ב;   מיום 23.4.1998 תק' תשנ"ח-1998			40	96	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
תקנות אלה; מיום 17.10.1991 תק' תשנ"ב-1991			40	97	2	6	0.361071	0.405818	0.985621	0	0.000426	2		0.015422	0	4	0	0	0.034016
תקנת משנה (ה) תוכן תכנית בידי מתכנן הקמת פיגומים אשר תכלול את האמצעים אשר יקנו לפיגום אותה מידת יציבות. תק'     תשע"ט-2019			40	98	9	4	0.488479	0.497417	267.911816	0	0.0011	9		0.058988	0	7	0	0	0.127308
תקנות התכנון והבנייה (מידע נדרש להיתר), התשנ"ב-1992			40	99	6	6	0.320518	0.364735	17.831016	0	0.000782	6		0.010798	0	5	0	0	0.031267
פקודת התעבורה, ותקנות התעבורה, תשכ"א-1961			40	100	4	6	0.361775	0.407615	102.749149	0	0.000777	4		0.011178	0	4	0	0	0.026342
תקנה 25(3) - הקיבוץ; תק'     תשנ"ב-1991			40	101	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
תקנת משנה (א). מיום 20.12.1956 תק' תשי"ז-1956			40	102	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
תקנות (תיקון מס' 10) תשס"ה-2005			40	103	2	6	0.401298	0.440836	56.06371	0	0.000431	2		0.01852	0	7	0	0	0.042778
תקנות ארגון הפיקוח על העבודה (מסירת מידע והדרכת עובדים), תשנ"ט-1999			40	104	3	6	0.361422	0.406716	48.285212	0	0.000576	3		0.014432	0	4	0	0	0.033726
חוק, כפול חמישה.  (א) דמי הביטוח בעד מבוטח לפי סעיף 31(א)(3) עד (8) לחוק – להוציא מבוטח שהוא כבאי מתנדב כמשמעותו בסעיף 1 לחוק שירותי הכבאות, תשי"ט-1959			40	105	2	6	0.364261	0.409164	3.028541	0	0.000514	2		0.011035	0	3	0	0	0.028416
